start_time;end_time;radar_id_list;radar_band;run_model;latmin;latmax;lonmin;lonmax;
20241006100000;20241006100000;AJAC,COLL,NIME;C;00;41;51;-5;8;
20250122100000;20250122100000;AJAC,COLL,NIME;C;00;41;51;-5;8;
